id_aula_bubble;usuarios;;;;;;
1646006336291x151698090320199680;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006471363x836417003280662500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006512493x910504168016052200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006577170x137084843691343870;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006621832x197213498725629950;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006662802x733118971174715400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006694130x732159055936618500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006715188x363710489475153900;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006746940x431424566668820500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006767657x468888383103959000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006797485x964607840377897000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006856655x857643302884737000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006951447x527655101557899260;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006989836x939491969083637800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007013655x703239832535564300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007343207x374611666418532350;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007388958x960828535467671600;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007433731x184264959198232580;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007475562x244987557894684670;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007519609x859321708366790700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007563952x540853707436195840;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007726226x294011249669701600;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007768812x445314416450732000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007834331x206357663831031800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646041742814x888692202505764900;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646041810693x167315337677897730;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646041844131x441121711014805500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646041879061x213004567533584400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646042003718x156997026820128770;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044014949x598117844566147100;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044040631x968329898757718000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044064412x215261944147607550;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044092587x470402618835337200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044123567x893087844807999500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044153194x307328914523422700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044182850x823119370493100000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044212432x654681295881502700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044258898x910483490110177300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044322416x194060002586263550;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044360613x945319696352673800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044378846x461628467705020400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044407023x716846079523684400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044429934x994892107883479000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044450320x273313431318691840;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044471486x857007673649659900;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044494996x616877785144623100;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044523586x897021364390854700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044545830x921852007769702400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044566712x841129626094534700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044590614x134820234130358270;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044617905x404407665198891000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646045100484x442344100910858200;1620726844573x269089511257849540;;;;;;
1646045194275x295955551612305400;;;;;;;
1646045277887x308856453331943400;;;;;;;
1646045293623x350396995086057500;;;;;;;
1646045306280x869302024263958500;;;;;;;
1646045318584x614456443061403600;;;;;;;
1646045333101x573468857910951940;;;;;;;
1646045354090x158080680028798980;;;;;;;
1646045372144x963990516220821500;1646506366757x714669705568882000;;;;;;
1646045421395x303134361133514750;;;;;;;
1646045434247x324389624811356160;;;;;;;
1646045447763x805197605197054000;;;;;;;
1646045459441x136933278593581060;;;;;;;
1646045471958x221509036560875520;;;;;;;
1646045484864x386039312056057860;;;;;;;
1646045497176x687445816732549100;;;;;;;
1646045550716x255820581088788500;;;;;;;
1646045599999x505188827856633860;;;;;;;
1646045610417x302999302650462200;;;;;;;
1646045698782x424507589168726000;;;;;;;
1646045710773x830222999398383600;;;;;;;
1646045723165x335824409885409300;;;;;;;
1646045734852x699279475178733600;;;;;;;
1646045747322x511941646609285100;;;;;;;
1646045759887x967158438388564000;;;;;;;
1646045771467x944558688779632600;;;;;;;
1646045782306x929214051496493000;;;;;;;
1646045794321x866359584057983000;;;;;;;
1646045805219x868471066532773900;;;;;;;
1646045815810x125680445746315260;;;;;;;
1646045828908x223592397401227260;;;;;;;
1646045841392x244403372298600450;;;;;;;
1646045851304x618273374696374300;;;;;;;
1646045864698x175209860803067900;;;;;;;
1646045876926x215950993164599300;;;;;;;
